id,jer_sent,ela_sent,kra_sent,geo_sent,jer_lines,ela_lines,kra_lines,geo_lines,location,rating
S05E13,0.0525,0.0263,0.0492,0.0094,75,92,59,80,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', '237 W. 72nd St']",8.4
S05E14,0.102,0.1034,0.0881,0.0912,106,75,33,53,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Queens', 'Queens', 'Queens', 'Costanza House', 'RUSSIA', 'Kramer’s Apartment', 'MASSACHUSETTS']",9.3
S05E15,0.0454,0.0047,0.0722,0.0131,77,45,36,53,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'EUROPE', 'Pendant Publishing', '182 Columbus Ave', 'ILLINOIS']",8.6
S05E17,0.0812,0.1009,0.0437,0.0148,91,58,24,25,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '24 E. 13th St', 'Central Park', 'Pines Of Mar Gables']",8.1
S05E18,0.0499,0.1047,0.057,0.0882,149,44,72,100,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'FRANCE', 'FLORIDA', 'Costanza House', 'Elaine’s Apartment', 'FRANCE', 'Pines Of Mar Gables', 'Pendant Publishing', 'Central Park', '1987 Broadway', 'Queens']",8.5
S05E20,0.0684,0.0904,0.1626,0.0614,71,26,34,54,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pendant Publishing', 'Costanza House', 'FLORIDA']",8.7
S05E21,0.0215,0.1509,0.0797,0.0711,79,48,38,67,"['Jerry’s Apartment', 'Monk’s Café', 'The Improv', 'Long Island', 'Long Island', 'Long Island', 'FLORIDA', 'Long Island', 'Long Island', 'Long Island']",9.1
S05E22,0.0501,0.0325,0.1033,0.1014,65,60,24,43,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'CALIFORNIA', 'Pendant Publishing', '1987 Broadway', 'Yankee Stadium', 'Elaine’s Apartment', 'CANADA', 'Costanza House', 'George’s Apartment']",9.6
S06E01,0.0344,0.1267,0.0141,0.03,67,39,42,41,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Yankee Stadium', 'CONNECTICUT', 'Rhode Island', 'Rhode Island', 'NEW JERSEY', 'Rhode Island', 'TEXAS', 'Rhode Island', '1535 Broadway', 'Rhode Island', '640 West End Ave', 'NEW JERSEY']",8.1
S06E02,-0.0009,0.064,0.013000000000000001,0.0945,89,59,27,40,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Newman’s Apartment', 'Bronx', 'CALIFORNIA', 'NEW JERSEY', 'California', 'NEW JERSEY']",8.3
S06E03,0.0817,0.0595,0.1083,0.0619,97,53,39,36,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '640 West End Ave', 'Yankee Stadium', 'CALIFORNIA']",8.3
S06E04,0.0308,0.0252,0.028999999999999998,0.0184,91,69,43,39,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'CHINA', 'China', 'Elaine’s Apartment', 'Queens', 'Queens', 'Brooklyn', 'Costanza House', 'Long Island', 'Queens', 'Kramer’s Apartment']",8.3
